ID,Camion ID,Départ,Arrivée,distance_km,Marchandise,marchandise_code,Poids (kg),Volume (m³),Capacité poids max(kg),Capacité volume max(m³),Type camion,type_camion_detail,vehicule_code,taux_remplissage,densite_ratio,charge_x_distance,route_code,heure_debut,heure_fin,duree_h,jour_semaine,mois,est_weekend,heure_sin,heure_cos,consommation_L,coef_dynamique
1,30,Casablanca,Marrakech,243.0,Textile,1,5074,45.19,9000,50,Porteur,Porteur 19T Frigo,2,0.9037999999999999,112.2814782031423,219.62339999999998,1,8,13,5,1,4,0,0.8660254037844387,-0.4999999999999998,90.19,1.3255437977660198
2,13,Casablanca,Fes,302.0,Métal,2,25252,87.05,26000,90,Semi-remorque,Porteur,1,0.9712307692307692,290.0861573808156,293.3116923076923,1,12,14,2,6,5,1,1.2246467991473532e-16,-1.0,81.89,1.2325406381697772
3,45,Marrakech,Agadir,253.0,Métal,2,24239,82.73,26000,90,Semi-remorque,Semi-remorque,3,0.9322692307692307,292.9892421128974,235.8641153846154,1,6,13,7,0,5,0,1.0,6.123233995736766e-17,113.43,1.2809712027103333
4,29,Casablanca,Agadir,508.0,Métal,2,25024,88.49,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9832222222222222,282.7890157079896,499.4768888888889,0,7,13,6,3,4,0,0.9659258262890683,-0.25881904510252063,203.07,1.4276574803149604
5,35,Fes,Casablanca,302.0,Textile,1,6243,40.48,9000,50,Porteur,Camionnette,0,0.8096,154.22430830039528,244.4992,1,10,12,2,3,4,0,0.49999999999999994,-0.8660254037844387,39.38,1.185430463576159
6,13,Agadir,Fes,716.0,Textile,1,5223,39.35,9000,50,Porteur,Porteur,1,0.787,132.73189326556545,563.4920000000001,0,9,15,6,3,4,0,0.7071067811865476,-0.7071067811865475,185.86,1.1799136617572372
7,14,Tanger,Fes,317.0,Textile,1,6017,32.31,9000,50,Porteur,Porteur,1,0.6685555555555556,186.22717424945836,211.9321111111111,1,10,14,4,4,5,0,0.49999999999999994,-0.8660254037844387,89.11,1.2777459133926012
8,32,Tanger,Rabat,271.0,Électronique,0,1289,10.77,1500,14,Camionnette,Camionnette,0,0.8593333333333333,119.68430826369546,232.8793333333333,1,6,10,4,0,5,0,1.0,6.123233995736766e-17,37.88,1.2707145253270715
9,45,Tanger,Marrakech,574.0,Métal,2,24153,83.38,26000,90,Semi-remorque,Semi-remorque,3,0.9289615384615385,289.67378268169824,533.2239230769231,0,10,12,2,4,4,0,0.49999999999999994,-0.8660254037844387,240.58,1.197511199601792
10,34,Fes,Casablanca,302.0,Textile,1,7349,48.29,9000,50,Porteur,Camionnette,0,0.9658,152.1847173327811,291.6716,1,6,14,8,6,5,1,1.0,6.123233995736766e-17,42.58,1.2817579771222156
11,46,Tanger,Rabat,271.0,Électronique,0,1468,8.27,1500,14,Camionnette,Porteur,1,0.9786666666666667,177.50906892382105,265.21866666666665,1,8,13,5,4,4,0,0.8660254037844387,-0.4999999999999998,72.14,1.2099966454209998
12,30,Rabat,Agadir,566.0,Textile,1,5278,31.4,9000,50,Porteur,Porteur 19T Frigo,2,0.628,168.0891719745223,355.448,0,7,9,2,5,4,1,0.9659258262890683,-0.25881904510252063,187.15,1.1809061080262495
13,11,Tanger,Rabat,271.0,Métal,2,24667,86.66,26000,90,Semi-remorque,Porteur,1,0.9628888888888889,284.64112624048005,260.9428888888889,1,12,15,3,3,4,0,1.2246467991473532e-16,-1.0,75.05,1.2588057698758806
14,10,Fes,Agadir,716.0,Textile,1,5668,34.5,9000,50,Porteur,Semi-remorque,3,0.69,164.28985507246378,494.03999999999996,0,6,14,8,5,4,1,1.0,6.123233995736766e-17,260.1,1.0379090183559458
16,43,Casablanca,Tanger,340.0,Électronique,0,1303,11.4,1500,14,Camionnette,Porteur 19T Frigo,2,0.8686666666666667,114.29824561403508,295.3466666666667,1,6,8,2,0,5,0,1.0,6.123233995736766e-17,109.08,1.145798319327731
17,47,Agadir,Tanger,800.0,Textile,1,7082,47.33,9000,50,Porteur,Porteur 19T Frigo,2,0.9466,149.63025565180646,757.28,0,12,20,8,2,5,0,1.2246467991473532e-16,-1.0,281.05,1.2546875
18,30,Casablanca,Marrakech,243.0,Métal,2,24407,89.98,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9997777777777779,271.2491664814403,242.94600000000003,1,6,11,5,4,5,0,1.0,6.123233995736766e-17,83.87,1.232657260435038
20,36,Casablanca,Rabat,87.0,Textile,1,7778,45.48,9000,50,Porteur,Camionnette,0,0.9096,171.02022867194373,79.1352,3,10,13,3,4,4,0,0.49999999999999994,-0.8660254037844387,11.97,1.250783699059561
22,16,Tanger,Marrakech,574.0,Métal,2,24082,85.25,26000,90,Semi-remorque,Porteur,1,0.9472222222222222,282.4868035190616,543.7055555555555,0,7,11,4,6,5,1,0.9659258262890683,-0.25881904510252063,147.67,1.1693854925562241
23,27,Rabat,Tanger,271.0,Électronique,0,1257,12.43,1500,14,Camionnette,Porteur 19T Frigo,2,0.8878571428571428,101.12630732099758,240.6092857142857,1,12,14,2,2,5,0,1.2246467991473532e-16,-1.0,89.11,1.1743542435424354
24,6,Fes,Tanger,317.0,Électronique,0,1420,10.47,1500,14,Camionnette,Semi-remorque,3,0.9466666666666667,135.6255969436485,300.0933333333333,1,12,17,5,3,4,0,1.2246467991473532e-16,-1.0,149.27,1.3453808021631366
25,40,Casablanca,Agadir,508.0,Métal,2,25690,83.9,26000,90,Semi-remorque,Camionnette,0,0.9880769230769231,306.1978545887962,501.94307692307694,0,11,14,3,6,4,1,0.258819045102521,-0.9659258262890682,68.74,1.2301360057265567
27,50,Tanger,Casablanca,340.0,Textile,1,7478,43.46,9000,50,Porteur,Porteur,1,0.8692,172.06626783248964,295.52799999999996,1,11,15,4,2,4,0,0.258819045102521,-0.9659258262890682,91.42,1.222192513368984
28,37,Agadir,Rabat,566.0,Électronique,0,1364,13.85,1500,14,Camionnette,Camionnette,0,0.9892857142857142,98.48375451263539,559.9357142857142,0,9,15,6,0,4,0,0.7071067811865476,-0.7071067811865475,71.02,1.1407002891101832
29,17,Fes,Casablanca,302.0,Textile,1,6326,45.28,9000,50,Porteur,Porteur,1,0.9056000000000001,139.70848056537102,273.49120000000005,1,10,14,4,3,5,0,0.49999999999999994,-0.8660254037844387,78.82,1.1863335340156531
30,13,Marrakech,Casablanca,243.0,Textile,1,5184,46.26,9000,50,Porteur,Porteur,1,0.9251999999999999,112.06225680933852,224.82359999999997,1,9,16,7,5,5,1,0.7071067811865476,-0.7071067811865475,66.26,1.2394313505424617
31,44,Tanger,Casablanca,340.0,Métal,2,25498,83.64,26000,90,Semi-remorque,Camionnette,0,0.9806923076923076,304.8541367766619,333.4353846153846,1,10,14,4,2,4,0,0.49999999999999994,-0.8660254037844387,43.35,1.1590909090909092
32,24,Rabat,Fes,198.0,Textile,1,5951,39.89,9000,50,Porteur,Porteur 19T Frigo,2,0.7978000000000001,149.1852594635247,157.9644,1,12,15,3,5,4,1,1.2246467991473532e-16,-1.0,71.4,1.287878787878788
33,26,Agadir,Fes,716.0,Métal,2,24545,85.26,26000,90,Semi-remorque,Porteur 19T Frigo,2,0.9473333333333334,287.8841191649073,678.2906666666667,0,7,10,3,2,4,0,0.9659258262890683,-0.25881904510252063,250.98,1.2518954509177973
34,8,Marrakech,Casablanca,243.0,Métal,2,24686,86.3,26000,90,Semi-remorque,Semi-remorque,3,0.9588888888888889,286.0486674391657,233.01,1,8,11,3,6,5,1,0.8660254037844387,-0.4999999999999998,103.59,1.2179894179894182
